Course Name,Pass Rate,Exam vs Individual Coursework vs Group Coursework,Number of assessments,Instructor Rating,Topics of Interest,Assessment Strengths & Weaknesses,Popularity,Gender distribution,Credits,Hours Per Week,Course Code
Digital Logic Design,76.8,0.7:0.2:0.1,5,82.5,"Boolean Algebra; Logic Gates (AND, OR, NOT, XOR, NAND, NOR); Combinational Circuits (Adders, Multiplexers, Decoders); Sequential Circuits (Flip-Flops, Registers, Counters); Memory Units (RAM, ROM); Finite State Machines; Digital System Design; Verilog; VHDL; FPGA Programming; Microprocessors; Microcontrollers; Embedded Systems; Computer Architecture; Digital Signal Processing; ASIC Design; Circuit Simulation; Logic Synthesis; Hardware Description Languages (HDLs); Digital Circuits; Digital Systems; Sequential Logic; Combinational Logic; State Machines; Memory Systems; Programmable Logic Devices (PLDs); Field-Programmable Gate Arrays (FPGAs); Application-Specific Integrated Circuits (ASICs); Microprocessor Design; Microcontroller Design; Embedded Systems Design; Hardware Design; Digital Design; Computer Engineering; Electrical Engineering; Computer Science; Electronics", "exam:0.8,individual work:0.7,group work:0.4",72.3,68:32,20,7,INFR08029
Embedded Systems Programming,83.5,0.5:0.4:0.1,6,88.9,"Microcontrollers; C Programming; Assembly Language; RTOS (Real-Time Operating Systems); Interrupts; Timers; Peripherals; Communication Protocols (UART, SPI, I2C, CAN, Ethernet); Embedded Linux; Device Drivers; Firmware Development; Debugging; Hardware Interfacing; Power Management; Real-Time Systems; IoT Devices; Robotics; Sensor Integration; Actuator Control; Embedded Security; Bare-Metal Programming; Embedded Software Development; Microcontroller Programming; Real-Time Programming; Interrupt Handling; Peripheral Interfacing; Communication Protocols; Embedded Linux Development; Device Driver Development; Firmware Engineering; Debugging Techniques; Hardware-Software Co-design; Low-Power Design; Real-Time Constraints; IoT Programming; Robotics Programming; Sensor Networks; Embedded Systems; Computer Engineering; Electrical Engineering; Computer Science; Software Engineering", "exam:0.6,individual work:0.8,group work:0.5",79.1,59:41,25,9,INFR08029
Computer Architecture,74.5,0.8:0.1:0.1,4,81.6,"Instruction Set Architecture (ISA); Pipelining; Memory Hierarchy; Cache Memory; Virtual Memory; Input/Output (I/O) Systems; Parallel Processing; Multiprocessors; Multicore Processors; Performance Evaluation; Benchmarking; Assembly Language Programming; Computer Organization; RISC vs. CISC; GPU Architecture; Embedded Systems; Digital Logic Design; System-on-Chip (SoC); Computer Arithmetic; Processor Design; Memory Systems; I/O Systems; Parallel Computing; High-Performance Computing; Computer Architecture Design; Performance Metrics; Instruction-Level Parallelism (ILP); Data-Level Parallelism (DLP); Thread-Level Parallelism (TLP); Memory Management; Cache Coherence; Interconnection Networks; Superscalar Processors; VLIW Processors; Vector Processors; GPU Computing; Embedded Processors; Computer Architecture; Computer Engineering; Electrical Engineering; Computer Science; Systems Programming", "exam:0.9,individual work:0.6,group work:0.2",70.9,66:34,20,6,INFR08029
Digital Signal Processing,80.7,0.7:0.2:0.1,5,87.1,"Discrete-Time Signals and Systems; Discrete Fourier Transform (DFT); Fast Fourier Transform (FFT); Z-Transform; Digital Filters (FIR, IIR); Filter Design; Multirate Signal Processing; Adaptive Filtering; Speech Processing; Image Processing; Audio Processing; Biomedical Signal Processing; Radar Signal Processing; Sonar Signal Processing; Seismic Signal Processing; Statistical Signal Processing; Wavelet Transform; Time-Frequency Analysis; Discrete-Time Systems; Linear Time-Invariant (LTI) Systems; Convolution; Correlation; Sampling Theorem; Quantization; Digital Filter Design Techniques; FIR Filter Design; IIR Filter Design; Multirate Systems; Decimation; Interpolation; Adaptive Filters; LMS Algorithm; RLS Algorithm; Speech Analysis; Speech Synthesis; Image Enhancement; Image Compression; Audio Compression; Signal Processing Applications; Digital Signal Processing (DSP); Signal Processing; Electrical Engineering; Computer Engineering; Computer Science", "exam:0.8,individual work:0.7,group work:0.3",77.2,61:39,20,7,INFR08029
Compiler Design,77.4,0.6:0.3:0.1,5,84.0,"Lexical Analysis; Syntax Analysis; Parsing (LL, LR, LALR); Semantic Analysis; Intermediate Code Generation; Code Optimization; Code Generation; Symbol Tables; Runtime Environments; Compiler Construction; Lexical Analyzers (Lex, Flex); Parsers (Yacc, Bison); Syntax Trees; Abstract Syntax Trees (ASTs); Intermediate Representations (IR); Three-Address Code; Register Allocation; Instruction Scheduling; Loop Optimization; Data-Flow Analysis; Compiler Optimizations; Code Generators; Target Machine Architectures; Compiler Design Principles; Parsing Techniques; Lexical Analysis Techniques; Semantic Analysis Techniques; Code Generation Techniques; Code Optimization Techniques; Compiler Construction Tools; Programming Languages; Compiler Theory; Formal Languages; Automata Theory; Computer Science; Software Engineering; Systems Programming", "exam:0.7,individual work:0.8,group work:0.3",74.3,64:36,25,8,INFR08029
Cybersecurity Fundamentals,89.6,0.7:0.2:0.1,6,91.2,"Network Security; Cryptography; Information Security; System Security; Application Security; Security Threats and Vulnerabilities; Security Attacks (Malware, Phishing, SQL Injection, XSS); Security Controls (Firewalls, Intrusion Detection/Prevention Systems, Antivirus); Risk Management; Security Policies; Access Control; Authentication; Authorization; Data Loss Prevention (DLP); Incident Response; Disaster Recovery; Business Continuity; Security Auditing; Security Awareness Training; Ethical Hacking; Penetration Testing; Vulnerability Assessment; Security Standards (ISO 27001, NIST); Cybersecurity Frameworks; Cryptographic Algorithms (AES, RSA, SHA); Security Protocols (SSL/TLS, SSH, IPsec); Network Security Devices; System Hardening; Secure Coding Practices; Web Application Security; Mobile Security; Cloud Security; IoT Security; Cybersecurity; Information Security; Computer Science; Information Technology; Network Security", "exam:0.8,individual work:0.8,group work:0.4",85.7,57:43,30,9,INFR08029
Cloud Computing,86.1,0.5:0.4:0.1,7,89.9,"Cloud Computing Models (IaaS, PaaS, SaaS); Cloud Service Providers (AWS, Azure, Google Cloud); Virtualization; Containers (Docker, Kubernetes); Serverless Computing; Cloud Storage; Cloud Networking; Cloud Security; Cloud Databases; Cloud Deployment Models (Public, Private, Hybrid, Community); Cloud Cost Management; Cloud Migration; Cloud Orchestration; Cloud Monitoring; DevOps; Microservices; Cloud-Native Applications; Scalability; High Availability; Fault Tolerance; Disaster Recovery; Cloud Computing Architecture; Cloud Computing Services; Cloud Computing Platforms; Cloud Computing Technologies; Cloud Computing Benefits; Cloud Computing Challenges; Cloud Computing Use Cases; Cloud Computing Trends; Infrastructure as Code (IaC); Cloud Automation; Cloud Management; Big Data; Machine Learning; Artificial Intelligence; Internet of Things (IoT); Edge Computing; Cloud Computing; Computer Science; Information Technology; Software Engineering", "exam:0.6,individual work:0.9,group work:0.5",88.3,54:46,35,10,INFR08029
Natural Language Processing,88.7,0.4:0.5:0.1,6,92.5,"Text Processing; Tokenization; Stemming; Lemmatization; Part-of-Speech Tagging; Named Entity Recognition (NER); Parsing; Syntax; Semantics; Sentiment Analysis; Text Classification; Machine Translation; Question Answering; Text Summarization; Dialogue Systems; Chatbots; Language Modeling; Word Embeddings (Word2Vec, GloVe, FastText); Recurrent Neural Networks (RNNs, LSTMs, GRUs); Transformers (BERT, GPT-2, GPT-3, RoBERTa, XLNet); Attention Mechanisms; Natural Language Understanding; Natural Language Generation; Text Mining; Information Retrieval; Computational Linguistics; Corpus Linguistics; Discourse Analysis; Pragmatics; NLP Libraries (NLTK, SpaCy, Gensim); Deep Learning for NLP; NLP Applications; Text Analytics; Language Technology; Natural Language Processing (NLP); Machine Learning; Artificial Intelligence; Computer Science; Linguistics; Computational Linguistics", "exam:0.5,individual work:0.8,group work:0.6",84.9,51:49,30,8,INFR08029
Computer Vision,83.2,0.5:0.4:0.1,7,87.8,"Image Processing; Image Filtering; Edge Detection; Feature Detection (SIFT, SURF, ORB); Object Detection (Haar Cascades, HOG, YOLO, SSD, Faster R-CNN); Object Tracking; Image Segmentation; Image Classification; Convolutional Neural Networks (CNNs); Deep Learning for Computer Vision; Image Recognition; Pattern Recognition; Scene Understanding; 3D Vision; Stereo Vision; Motion Analysis; Video Analysis; Image Retrieval; Medical Image Analysis; Computer Vision Applications; OpenCV; Image Processing Libraries; Deep Learning Frameworks (TensorFlow, PyTorch); Computer Vision Algorithms; Image Analysis; Image Understanding; Visual Perception; Robotics Vision; Computer Vision; Machine Learning; Artificial Intelligence; Image Processing; Computer Science; Robotics", "exam:0.6,individual work:0.9,group work:0.5",81.5,59:41,35,9,INFR08029
Robotics,80.9,0.4:0.5:0.1,8,85.3,"Robot Kinematics; Robot Dynamics; Robot Control; Robot Sensors; Robot Actuators; Robot Programming; Robot Navigation; Robot Planning; Robot Perception; Robot Manipulation; Mobile Robots; Humanoid Robots; Industrial Robots; Service Robots; Medical Robots; Robot Operating System (ROS); Path Planning; Motion Planning; Localization; Mapping; SLAM (Simultaneous Localization and Mapping); Computer Vision for Robotics; Machine Learning for Robotics; Artificial Intelligence for Robotics; Robot Design; Robot Simulation; Robotics Applications; Robotics Control Systems; Robot Sensors and Actuators; Robot Programming Languages; Robotics Algorithms; Robotics; Computer Science; Mechanical Engineering; Electrical Engineering; Artificial Intelligence; Mechatronics", "exam:0.5, individual work:0.8, group work:0.7",79.1,62:38,40,12,INFR08029
Distributed Systems, 84.3, 0.6:0.3:0.1, 6, 89.1, "Concurrency; Parallelism; Distributed Consensus; Fault Tolerance; Consistency and Replication; Message Passing; Remote Procedure Call (RPC); Distributed File Systems; Distributed Databases; Cloud Computing; Peer-to-Peer Systems; Time and Synchronization; Distributed Algorithms; Distributed Operating Systems; Cluster Computing; Grid Computing; MapReduce; Hadoop; Spark; Distributed System Models; CAP Theorem; Paxos; Raft; Gossip Protocols; Distributed System Design; Scalability; Availability; Reliability; Performance; Security in Distributed Systems; Distributed Systems; Computer Science; Operating Systems; Computer Networks; Concurrency; Parallel Computing", "exam:0.7, individual work:0.8, group work:0.4", 82.7, 58:42, 30, 8, INFR08029
High-Performance Computing, 78.6, 0.7:0.2:0.1, 5, 85.4, "Parallel Computing; Parallel Architectures (Shared Memory, Distributed Memory, Clusters, GPUs); Parallel Programming Models (MPI, OpenMP, CUDA, OpenCL); Performance Analysis; Performance Optimization; Scalability; Load Balancing; Vectorization; Parallel Algorithms; Scientific Computing; Numerical Linear Algebra; Supercomputing; Cluster Computing; Grid Computing; Cloud Computing; High-Performance Computing Applications; Computational Science; Data-Intensive Computing; Big Data; High-Performance Networking; Interconnection Networks; Parallel File Systems; High-Performance Computing; Computer Architecture; Computer Science; Parallel Computing; Scientific Computing", "exam:0.8, individual work:0.7, group work:0.3", 76.2, 64:36, 25, 7, INFR08029
Information Retrieval, 86.9, 0.5:0.4:0.1, 7, 90.8, "Text Processing; Indexing; Retrieval Models (Boolean, Vector Space, Probabilistic); Evaluation Metrics (Precision, Recall, F1-score, MAP, NDCG); Query Expansion; Relevance Feedback; Web Search; Search Engines; Text Mining; Natural Language Processing (NLP); Machine Learning for Information Retrieval; Recommender Systems; Information Extraction; Question Answering; Text Summarization; Document Clustering; Topic Modeling; Link Analysis; PageRank; HITS; Information Retrieval Systems; Search Engine Optimization (SEO); Information Retrieval Evaluation; Information Retrieval Models; Text Retrieval; Web Information Retrieval; Information Retrieval; Data Mining; Machine Learning; Natural Language Processing; Computer Science", "exam:0.6, individual work:0.9, group work:0.5", 84.5, 53:47, 35, 9, INFR08029
Data Mining, 82.4, 0.4:0.5:0.1, 6, 88.2, "Classification; Clustering; Association Rule Mining; Anomaly Detection; Regression; Feature Selection; Feature Extraction; Data Preprocessing; Data Cleaning; Data Transformation; Data Reduction; Data Visualization; Machine Learning; Statistical Modeling; Pattern Recognition; Data Warehousing; Big Data; Data Mining Algorithms (Apriori, K-Means, DBSCAN, Decision Trees, SVM); Data Mining Tools (Weka, RapidMiner, KNIME); Data Mining Applications; Business Intelligence; Predictive Analytics; Data Science; Data Analytics; Data Mining Techniques; Data Mining Process; Knowledge Discovery in Databases (KDD); Data Mining; Machine Learning; Statistics; Database Systems; Computer Science", "exam:0.5, individual work:0.8, group work:0.6", 80.1, 56:44, 30, 8, INFR08029
Computer Graphics, 79.8, 0.6:0.3:0.1, 5, 83.5, "Rendering; Shading; Lighting; Texturing; Modeling; Animation; 2D Graphics; 3D Graphics; Rasterization; Ray Tracing; Global Illumination; Geometric Modeling; Computer-Aided Design (CAD); Computer-Generated Imagery (CGI); Virtual Reality (VR); Augmented Reality (AR); Game Development; Scientific Visualization; OpenGL; DirectX; WebGL; Computer Graphics Algorithms; Image Synthesis; Rendering Techniques; Shading Models; Texture Mapping; Animation Techniques; 3D Modeling Techniques; Virtual Reality Systems; Augmented Reality Systems; Computer Graphics; Computer Science; Image Processing; Visualization", "exam:0.7, individual work:0.7, group work:0.4", 77.3, 61:39, 25, 7, INFR08029
Human-Computer Interaction, 88.1, 0.3:0.5:0.2, 8, 91.6, "User Interface (UI) Design; User Experience (UX) Design; Usability; Accessibility; Interaction Design; User-Centered Design; Human Factors; Cognitive Psychology; Ergonomics; Prototyping; User Research; Usability Testing; Heuristic Evaluation; Design Principles; Visual Design; Information Architecture; Interaction Styles; Mobile UI Design; Web UI Design; GUI Design; Command-Line Interfaces; Natural User Interfaces; Tangible User Interfaces; Virtual Reality (VR) Interfaces; Augmented Reality (AR) Interfaces; Human-Computer Interaction (HCI); Design; User Experience; Usability; Accessibility; Computer Science; Psychology; Cognitive Science", "exam:0.4, individual work:0.8, group work:0.7", 86.4, 48:52, 40, 10, INFR08029
Software Testing and Quality Assurance, 83.7, 0.4:0.5:0.1, 7, 87.2, "Software Testing; Unit Testing; Integration Testing; System Testing; Acceptance Testing; Regression Testing; Black-Box Testing; White-Box Testing; Gray-Box Testing; Test Automation; Test Planning; Test Design; Test Execution; Test Reporting; Defect Tracking; Software Quality Assurance (SQA); Quality Control; Quality Metrics; Software Reliability; Software Verification and Validation; Test-Driven Development (TDD); Behavior-Driven Development (BDD); Performance Testing; Security Testing; Usability Testing; Software Testing Tools (JUnit, Selenium, JMeter); Software Quality Standards (ISO 9001, CMMI); Software Testing Principles; Software Testing Techniques; Software Testing Methodologies; Software Testing Life Cycle (STLC); Software Testing; Software Engineering; Quality Assurance; Computer Science", "exam:0.5, individual work:0.9, group work:0.6", 81.9, 54:46, 35, 9, INFR08029
Cryptography, 87.5, 0.8:0.1:0.1, 4, 90.3, "Symmetric-Key Cryptography (AES, DES, Blowfish); Asymmetric-Key Cryptography (RSA, ECC, Diffie-Hellman); Hash Functions (SHA-256, SHA-3, MD5); Digital Signatures; Public Key Infrastructure (PKI); Cryptographic Protocols (SSL/TLS, SSH, IPsec); Cryptanalysis; Information Security; Network Security; Cybersecurity; Applied Cryptography; Cryptographic Algorithms; Cryptographic Keys; Encryption; Decryption; Authentication; Integrity; Non-Repudiation; Cryptographic Attacks; Security Protocols; Cryptography Theory; Number Theory; Mathematics; Computer Science; Information Security; Cybersecurity", "exam:0.9, individual work:0.7, group work:0.2", 84.1, 63:37, 20, 6, INFR08029
Network Security, 91.2, 0.7:0.2:0.1, 5, 93.8, "Firewalls; Intrusion Detection Systems (IDS); Intrusion Prevention Systems (IPS); Virtual Private Networks (VPNs); Network Security Protocols (SSL/TLS, SSH, IPsec); Wireless Security (WEP, WPA, WPA2, WPA3); Network Attacks (DoS, DDoS, Man-in-the-Middle, Spoofing); Malware; Viruses; Worms; Trojans; Spyware; Adware; Ransomware; Network Security Auditing; Penetration Testing; Ethical Hacking; Vulnerability Assessment; Risk Management; Security Policies; Access Control; Authentication; Authorization; Cryptography; Network Forensics; Security Hardening; Network Security Devices; Security Information and Event Management (SIEM); Network Security; Cybersecurity; Information Security; Computer Networks; Information Technology", "exam:0.8, individual work:0.8, group work:0.3", 88.5, 59:41, 25, 7, INFR08029
Database Administration, 79.4, 0.6:0.3:0.1, 6, 84.7, "Database Installation; Database Configuration; Database Security; Database Backup and Recovery; Database Performance Tuning; Database Monitoring; Database Maintenance; User Management; Access Control; SQL Server Administration; MySQL Administration; PostgreSQL Administration; Oracle Database Administration; NoSQL Database Administration; Database Management Systems (DBMS); Database Systems; Database Design; SQL; Data Modeling; Database Security Best Practices; High Availability; Disaster Recovery; Database Replication; Database Clustering; Database Administration; Database Management; Information Technology; Computer Science", "exam:0.7, individual work:0.7, group work:0.4", 77.0, 60:40, 30, 8, INFR08029
Software Architecture, 82.9, 0.5:0.4:0.1, 7, 88.6, "Architectural Styles (Microservices, Monolithic, Event-Driven, Layered, Service-Oriented Architecture (SOA)); Design Patterns; Software Design Principles; System Design; Scalability; Reliability; Availability; Maintainability; Performance; Security; Software Architecture Documentation; Architectural Views; Architecture Description Languages (ADLs); UML; Component-Based Architecture; Distributed Systems Architecture; Cloud Architecture; Enterprise Architecture; Software Architecture Patterns; Software Architecture Principles; Software Architecture Design; Software Architecture Evaluation; Software Architecture; Software Engineering; System Design; Computer Science", "exam:0.6, individual work:0.8, group work:0.5", 80.5, 52:48, 35, 9, INFR08029
